id,dcterms:format,ac:accessURI
"26b55ed2-7bd2-11e4-8af9-07528cc537b9","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p031.jpg"
"26b6218c-7bd2-11e4-b506-0fadf6ce571c","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p032.jpg"
"26b6a922-7bd2-11e4-859c-23453d6e2bd3","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p033.jpg"
"26b6f288-7bd2-11e4-8214-a359d7f5c1b8","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p034.jpg"
"26b72fa0-7bd2-11e4-a167-373e1093d572","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p035.jpg"
"26b78194-7bd2-11e4-931d-b399d91d66dd","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p036.jpg"
"26b7e24c-7bd2-11e4-9f90-17a63f4ac101","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p037.jpg"
"26b85006-7bd2-11e4-8f47-0f9f5fa0b81e","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p038.jpg"
"26b89016-7bd2-11e4-9269-a73833765103","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p039.jpg"
"26b8ee26-7bd2-11e4-90c4-a3d55d1e20b5","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p040.jpg"
"26b931d8-7bd2-11e4-a4ce-a795680eb3fb","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p041.jpg"
"26b961e4-7bd2-11e4-b400-33a2483d74f6","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p042.jpg"
"26b9a58c-7bd2-11e4-b898-231815973079","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p043.jpg"
"26ba1242-7bd2-11e4-b121-77a7e634b08f","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p044.jpg"
"26baacfc-7bd2-11e4-b79b-7b0dc58856d1","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p045.jpg"
"26bb23f8-7bd2-11e4-9d6a-7f3c0b53603d","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p046.jpg"
"26bb71c8-7bd2-11e4-b6d9-4b4bc7e96a97","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p047.jpg"
"26bbb02a-7bd2-11e4-8149-334b2b19114f","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p048.jpg"
"26bbf396-7bd2-11e4-a2a1-e3f86a9f4cfa","image/jpeg","http://web.corral.tacc.utexas.edu/MVZ/fieldnotes/GrinnellJ/v1318_s3/jpg/v1318_s3_p049.jpg"
